"id","Layout","Layout percent","Mirror","Mirror percent","Palette","Palette percent","Region","Region percent","Vortex","Vortex direction","Vortex direction percent","Vortex percent","rarity","rank","id again"
118,"Vapor",13.67,"None",97.85,"Cafe",0.39,"Topology",99.61,"None",,,95.8,"0.049780860651057891319571",168,118
119,"Flame",15.43,"None",97.85,"Morado",1.17,"Topology",99.61,"None",,,95.8,"0.168570302819127243454389",584,119
120,"Cellophane",5.66,"None",97.85,"Empireo",1.46,"Topology",99.61,"None",,,95.8,"0.077161127694198791693303",304,120
121,"Vapor",13.67,"None",97.85,"Vaporo",1.76,"Topology",99.61,"None",,,95.8,"0.224652089091953527377754",730,121
122,"Rings",13.87,"None",97.85,"Barin",1.46,"Topology",99.61,"None",,,95.8,"0.189085660975006564221701",644,122
123,"Vapor",13.67,"None",97.85,"Xaico",0.59,"Topology",99.61,"None",,,95.8,"0.075309507138779888113511",296,123
124,"Flame",15.43,"None",97.85,"Propano",3.13,"Topology",99.61,"None",,,95.8,"0.450961579336639661885755",1002,124
125,"Marblelike",14.26,"None",97.85,"Melancolia",1.86,"Topology",99.61,"None",,,95.8,"0.247663353321778773041828",812,125
126,"Cells",3.81,"None",97.85,"Narine",1.27,"Topology",99.61,"None",,,95.8,"0.045181222297052091307901",160,126
127,"Nebula",4.49,"None",97.85,"Udomeo",1.27,"Topology",99.61,"None",,,95.8,"0.053245062497050889283035",190,127
128,"Cellophane",5.66,"None",97.85,"Vaporo",1.76,"Topology",99.61,"None",,,95.8,"0.093016153932732797970928",367,128
129,"Vapor",13.67,"None",97.85,"Xolee",0.39,"Topology",99.61,"None",,,95.8,"0.049780860651057891319571",173,129
130,"Vapor",13.67,"Single",1.86,"Vaporo",1.76,"Topology",99.61,"None",,,95.8,"0.004270341192754560123712",64,130
131,"Marblelike",14.26,"None",97.85,"Dorado",3.03,"Topology",99.61,"Strong","Left",1.76,1.95,"0.000144535058739030943756",40,131
132,"Rings",13.87,"None",97.85,"Volka",1.86,"Topology",99.61,"None",,,95.8,"0.240889951653090544914093",794,132
133,"Marblelike",14.26,"None",97.85,"Dorado",3.03,"Topology",99.61,"None",,,95.8,"0.403451591701607326090340",966,133
134,"Flame",15.43,"None",97.85,"Oro",1.07,"Topology",99.61,"None",,,95.8,"0.154162584629458310203631",548,134
135,"Oleo",13.96,"None",97.85,"Contra",0.68,"Topology",99.61,"None",,,95.8,"0.088638747395262396100435",355,135
136,"Oleo",13.96,"None",97.85,"Menta",0.39,"Topology",99.61,"None",,,95.8,"0.050836928653165198987995",181,136
137,"Oleo",13.96,"None",97.85,"Jovica",1.17,"Topology",99.61,"None",,,95.8,"0.152510785959495548391729",524,137
138,"Oleo",13.96,"None",97.85,"Dorado",3.03,"Topology",99.61,"None",,,95.8,"0.394963830305360363848166",945,138
139,"Filaments",4.39,"None",97.85,"Folera",1.76,"Topology",99.61,"None",,,95.8,"0.072145038120971186068608",275,139
140,"Vapor",13.67,"None",97.85,"Nube",0.68,"Topology",99.61,"None",,,95.8,"0.086797398058254773833831",314,140
141,"Flame",15.43,"None",97.85,"Drago",1.56,"Topology",99.61,"None",,,95.8,"0.224760403758836380117003",740,141
142,"Marblelike",14.26,"None",97.85,"Dorado",3.03,"Topology",99.61,"None",,,95.8,"0.403451591701607326090340",963,142
143,"Rings",13.87,"None",97.85,"Fumica",1.66,"Topology",99.61,"None",,,95.8,"0.214987806314048568445685",701,143
144,"Marblelike",14.26,"None",97.85,"Oranaz",2.15,"Topology",99.61,"None",,,95.8,"0.286277532065496942426108",849,144
145,"Oleo",13.96,"None",97.85,"Pastel",1.86,"Topology",99.61,"None",,,95.8,"0.242453044345864815456437",804,145
146,"Rings",13.87,"None",97.85,"Zalce",1.76,"Topology",99.61,"None",,,95.8,"0.227938878983569570557677",752,146
147,"Oleo",13.96,"None",97.85,"Jovica",1.17,"Topology",99.61,"None",,,95.8,"0.152510785959495548391729",532,147
148,"Oleo",13.96,"None",97.85,"Golico",1.17,"Topology",99.61,"None",,,95.8,"0.152510785959495548391729",523,148
149,"Cellophane",5.66,"None",97.85,"Tempesta",2.93,"Topology",99.61,"None",,,95.8,"0.154850756263015393310312",559,149
150,"Rings",13.87,"None",97.85,"Barin",1.46,"Topology",99.61,"None",,,95.8,"0.189085660975006564221701",652,150
151,"Rings",13.87,"None",97.85,"Fumica",1.66,"Topology",99.61,"None",,,95.8,"0.214987806314048568445685",709,151
152,"Cellophane",5.66,"None",97.85,"Narine",1.27,"Topology",99.61,"None",,,95.8,"0.067119611076460597431925",262,152
