"id","Background","Background percent","Body","Body percent","Extra color","Extra color percent","Peg count","Peg count percent","Peg layout","Peg layout percent","Peg scaling","Peg scaling percent","Peg style","Peg style percent","Size","Size percent","Wrap orientation","Wrap orientation percent","Wrap style","Wrap style percent","rarity","rank","id again"
35,"White",80.2,"Black",40.2,"N/A",84.5,"20",0.9,"Recursive grid",13.5,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Loop",50.5,"0.009067489698167768147341",470,35
36,"White",80.2,"White",52,"N/A",84.5,"7",3.3,"Recursive grid",13.5,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Weave",49.5,"0.042155050377472740030793",716,36
37,"White",80.2,"White",52,"N/A",84.5,"4",3.6,"3x3 grid",24.5,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Off-center",21.2,"Weave",49.5,"0.022453297611710342635005",588,37
38,"Beige",4.7,"Black",40.2,"N/A",84.5,"16",13.7,"4x4 grid",21.7,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Weave",49.5,"0.012744664415185067915526",519,38
39,"White",80.2,"White",52,"N/A",84.5,"5",6.4,"Tiled 3,2",3.3,"Uniform",77.2,"Bullseye",7.5,"Normal",96.4,"Balanced",78.8,"Weave",49.5,"0.001620374308803756600514",243,39
40,"White",80.2,"Black",40.2,"N/A",84.5,"18",2.4,"5x5 grid",23.6,"Bigger near center",12.4,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Weave",49.5,"0.006655064105745076355469",412,40
41,"White",80.2,"White",52,"N/A",84.5,"18",2.4,"5x5 grid",23.6,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Weave",49.5,"0.053595107819978796137583",768,41
42,"White",80.2,"Black",40.2,"N/A",84.5,"10",3.3,"Tiled 3,4",2.9,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Weave",49.5,"0.007000620759267478683541",421,42
43,"White",80.2,"White",52,"N/A",84.5,"14",5.2,"Tiled 4,3",2.3,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Off-center",21.2,"Loop",50.5,"0.003106196360778032319189",314,43
44,"White",80.2,"Yellow",5.4,"N/A",84.5,"45",0.1,"Recursive grid",13.5,"Smaller near center",10.4,"Solid",92.5,"smol boi",3.6,"Off-center",21.2,"Weave",49.5,"0.000000179546621801770115",3,44
45,"Yellow",6.8,"White",52,"N/A",84.5,"10",3.3,"Recursive grid",13.5,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Loop",50.5,"0.003646450615789853001714",329,45
46,"White",80.2,"White",52,"N/A",84.5,"4",3.6,"Tiled 3,2",3.3,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Off-center",21.2,"Weave",49.5,"0.003024321719128331489856",307,46
47,"White",80.2,"Yellow",5.4,"N/A",84.5,"5",6.4,"Tiled 3,2",3.3,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Loop",50.5,"0.002117251325873999341642",273,47
48,"White",80.2,"White",52,"N/A",84.5,"9",14.6,"3x3 grid",24.5,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Off-center",21.2,"Loop",50.5,"0.092900203867082115083420",840,48
49,"White",80.2,"White",52,"N/A",84.5,"9",14.6,"4x4 grid",21.7,"Uniform",77.2,"Bullseye",7.5,"Normal",96.4,"Balanced",78.8,"Loop",50.5,"0.024798202594140172916326",605,49
50,"Black",1.6,"Black",40.2,"Blue",2.8,"22",1.7,"Tiled 4,5",2.4,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Weave",49.5,"0.000001973021026576262174",6,50
51,"White",80.2,"Black",40.2,"Red",12.3,"9",14.6,"3x3 grid",24.5,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Loop",50.5,"0.038857793459396321178456",689,51
52,"Blue",1.1,"Black",40.2,"Blue",2.8,"36",0.4,"Recursive grid",13.5,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Off-center",21.2,"Weave",49.5,"0.000000483000584430317379",5,52
53,"White",80.2,"White",52,"N/A",84.5,"25",11.6,"5x5 grid",23.6,"Bigger near center",12.4,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Weave",49.5,"0.041607946399102709034157",702,53
54,"White",80.2,"Black",40.2,"Red",12.3,"9",14.6,"3x3 grid",24.5,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Off-center",21.2,"Loop",50.5,"0.010454127174355355364699",490,54
55,"White",80.2,"White",52,"N/A",84.5,"22",1.7,"Tiled 4,5",2.4,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Loop",50.5,"0.003938657769513079914825",344,55
56,"White",80.2,"White",52,"Red",12.3,"20",0.9,"Recursive grid",13.5,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Loop",50.5,"0.001707311493110808247459",249,56
57,"White",80.2,"Black",40.2,"N/A",84.5,"20",0.9,"Recursive grid",13.5,"Uniform",77.2,"Bullseye",7.5,"Normal",96.4,"Balanced",78.8,"Weave",49.5,"0.000720643414598829963429",176,57
58,"White",80.2,"Black",40.2,"N/A",84.5,"11",2.5,"4x4 grid",21.7,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Loop",50.5,"0.040486528076181187152383",695,58
59,"Red",5.4,"White",52,"N/A",84.5,"16",13.7,"4x4 grid",21.7,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Loop",50.5,"0.019323588298897773768426",574,59
60,"White",80.2,"White",52,"N/A",84.5,"16",13.7,"Recursive grid",13.5,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Off-center",21.2,"Weave",49.5,"0.047083190400066060599116",738,60
61,"White",80.2,"Yellow",5.4,"N/A",84.5,"7",3.3,"Tiled 2,3",2.3,"Smaller near center",10.4,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Weave",49.5,"0.000100473177065479085039",59,61
62,"White",80.2,"White",52,"N/A",84.5,"9",14.6,"Tiled 3,4",2.9,"Smaller near center",10.4,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Loop",50.5,"0.005506237959705854480286",379,62
63,"White",80.2,"Red",1.8,"N/A",84.5,"8",5.5,"4x4 grid",21.7,"Smaller near center",10.4,"Solid",92.5,"Normal",96.4,"Off-center",21.2,"Weave",49.5,"0.000141683465684552665391",74,63
64,"White",80.2,"Black",40.2,"N/A",84.5,"7",3.3,"Tiled 4,3",2.3,"Uniform",77.2,"Bullseye",7.5,"Normal",96.4,"Balanced",78.8,"Loop",50.5,"0.000459274252980269349651",142,64
65,"White",80.2,"Black",40.2,"N/A",84.5,"5",6.4,"3x3 grid",24.5,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Weave",49.5,"0.114701915888520480923951",854,65
66,"White",80.2,"Black",40.2,"Red",12.3,"8",5.5,"Tiled 3,2",3.3,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Off-center",21.2,"Loop",50.5,"0.000530451239067793482371",150,66
67,"White",80.2,"Red",1.8,"N/A",84.5,"16",13.7,"4x4 grid",21.7,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Weave",49.5,"0.009737587355647916304013",481,67
68,"White",80.2,"Red",1.8,"N/A",84.5,"4",3.6,"3x3 grid",24.5,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Loop",50.5,"0.002947310084313238542908",302,68
69,"White",80.2,"White",52,"N/A",84.5,"9",14.6,"4x4 grid",21.7,"Smaller near center",10.4,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Weave",49.5,"0.040385971351437663368067",693,69
70,"White",80.2,"Black",40.2,"N/A",84.5,"7",3.3,"3x3 grid",24.5,"Bigger near center",12.4,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Weave",49.5,"0.009499681019588443117718",477,70
71,"White",80.2,"Black",40.2,"N/A",84.5,"34",0.2,"Recursive grid",13.5,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Loop",50.5,"0.002014997710703948525374",269,71
72,"Yellow",6.8,"Yellow",5.4,"N/A",84.5,"8",5.5,"Tiled 3,2",3.3,"Bigger near center",12.4,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Weave",49.5,"0.000024288901802708197521",22,72
73,"White",80.2,"Black",40.2,"N/A",84.5,"25",11.6,"5x5 grid",23.6,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Weave",49.5,"0.200260181719651569887120",898,73
74,"White",80.2,"Black",40.2,"N/A",84.5,"5",6.4,"3x3 grid",24.5,"Smaller near center",10.4,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Loop",50.5,"0.015764234632504044164580",547,74
75,"White",80.2,"Black",40.2,"N/A",84.5,"5",6.4,"3x3 grid",24.5,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Weave",49.5,"0.114701915888520480923951",857,75
76,"White",80.2,"Black",40.2,"N/A",84.5,"25",11.6,"5x5 grid",23.6,"Smaller near center",10.4,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Loop",50.5,"0.027523066792055527612915",615,76
77,"Red",5.4,"Black",40.2,"Red",12.3,"9",14.6,"3x3 grid",24.5,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Off-center",21.2,"Weave",49.5,"0.000689955357572698247358",169,77
78,"White",80.2,"Black",40.2,"N/A",84.5,"16",13.7,"5x5 grid",23.6,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Weave",49.5,"0.236514180134416052148083",920,78
79,"Beige",4.7,"White",52,"N/A",84.5,"11",2.5,"4x4 grid",21.7,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Loop",50.5,"0.003069101953393469934400",310,79
80,"Black",1.6,"Black",40.2,"N/A",84.5,"16",13.7,"4x4 grid",21.7,"Bigger near center",12.4,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Weave",49.5,"0.000696875046845088258647",171,80
81,"White",80.2,"Black",40.2,"N/A",84.5,"29",0.5,"Recursive grid",13.5,"Bigger near center",12.4,"Bullseye",7.5,"Normal",96.4,"Off-center",21.2,"Weave",49.5,"0.000017300631086707598096",17,81
82,"White",80.2,"Black",40.2,"Blue",2.8,"25",11.6,"5x5 grid",23.6,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Weave",49.5,"0.006635840341006204665120",411,82
83,"White",80.2,"White",52,"Blue",2.8,"25",11.6,"5x5 grid",23.6,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Loop",50.5,"0.008757081629972508080018",459,83
84,"White",80.2,"White",52,"N/A",84.5,"4",3.6,"Tiled 2,3",2.3,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Off-center",21.2,"Loop",50.5,"0.002150443634384791805753",275,84
85,"White",80.2,"White",52,"N/A",84.5,"6",5.6,"3x3 grid",24.5,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Loop",50.5,"0.132447021072841786271113",881,85
86,"White",80.2,"White",52,"N/A",84.5,"18",2.4,"Recursive grid",13.5,"Bigger near center",12.4,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Loop",50.5,"0.005023859422557829315648",364,86
87,"White",80.2,"White",52,"N/A",84.5,"13",2.6,"5x5 grid",23.6,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Loop",50.5,"0.059234323710128093665173",788,87
88,"White",80.2,"Black",40.2,"N/A",84.5,"23",2.1,"Tiled 5,4",3,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Weave",49.5,"0.004608559120520912613661",360,88
89,"White",80.2,"White",52,"N/A",84.5,"16",13.7,"5x5 grid",23.6,"Smaller near center",10.4,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Loop",50.5,"0.042047162426360341902498",713,89
90,"Beige",4.7,"White",52,"N/A",84.5,"15",2.9,"Tiled 5,4",3,"Smaller near center",10.4,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Loop",50.5,"0.000066305089358668857415",44,90
91,"White",80.2,"White",52,"N/A",84.5,"6",5.6,"3x3 grid",24.5,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Off-center",21.2,"Weave",49.5,"0.034927351840438304597658",657,91
92,"White",80.2,"White",52,"N/A",84.5,"18",2.4,"5x5 grid",23.6,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Off-center",21.2,"Loop",50.5,"0.014710281093182925316043",539,92
93,"White",80.2,"Black",40.2,"N/A",84.5,"16",13.7,"4x4 grid",21.7,"Bigger near center",12.4,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Loop",50.5,"0.035636535697314293547056",666,93
94,"Yellow",6.8,"Black",40.2,"N/A",84.5,"5",6.4,"3x3 grid",24.5,"Uniform",77.2,"Bullseye",7.5,"Normal",96.4,"Balanced",78.8,"Weave",49.5,"0.000788541849472877698357",181,94
95,"White",80.2,"White",52,"Blue",2.8,"22",1.7,"Tiled 4,5",2.4,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Weave",49.5,"0.000127927345914702166041",70,95
96,"White",80.2,"Black",40.2,"N/A",84.5,"16",13.7,"5x5 grid",23.6,"Bigger near center",12.4,"Solid",92.5,"Normal",96.4,"Off-center",21.2,"Weave",49.5,"0.010220478103175757722543",487,96
97,"White",80.2,"White",52,"N/A",84.5,"5",6.4,"Tiled 2,3",2.3,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Weave",49.5,"0.013928672088808052506592",534,97
98,"White",80.2,"Yellow",5.4,"Red",12.3,"25",11.6,"5x5 grid",23.6,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Off-center",21.2,"Loop",50.5,"0.001074747733123467127378",205,98
99,"Beige",4.7,"White",52,"N/A",84.5,"10",3.3,"Tiled 4,3",2.3,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Off-center",21.2,"Loop",50.5,"0.000115521546028360026044",67,99
100,"White",80.2,"White",52,"N/A",84.5,"27",0.2,"Recursive grid",13.5,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Loop",50.5,"0.002606464700413067565182",296,100
101,"White",80.2,"Black",40.2,"N/A",84.5,"10",3.3,"Recursive grid",13.5,"Smaller near center",10.4,"Solid",92.5,"Normal",96.4,"Off-center",21.2,"Loop",50.5,"0.001204992055660705860959",219,101
102,"Beige",4.7,"White",52,"N/A",84.5,"12",3.2,"5x5 grid",23.6,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Loop",50.5,"0.004272416212355296775971",354,102
103,"White",80.2,"White",52,"N/A",84.5,"25",11.6,"5x5 grid",23.6,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Off-center",21.2,"Weave",49.5,"0.069691777258297296637757",810,103
104,"Yellow",6.8,"Black",40.2,"N/A",84.5,"25",11.6,"5x5 grid",23.6,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Weave",49.5,"0.016979666280469211253612",555,104
105,"White",80.2,"Yellow",5.4,"N/A",84.5,"10",3.3,"4x4 grid",21.7,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Off-center",21.2,"Weave",49.5,"0.001893109076108215457421",260,105
106,"White",80.2,"Black",40.2,"Red",12.3,"25",11.6,"5x5 grid",23.6,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Loop",50.5,"0.029739193562886040433924",624,106
107,"White",80.2,"White",52,"N/A",84.5,"25",11.6,"5x5 grid",23.6,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Off-center",21.2,"Weave",49.5,"0.069691777258297296637757",809,107
108,"White",80.2,"White",52,"N/A",84.5,"10",3.3,"Tiled 3,4",2.9,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Weave",49.5,"0.009055529340345992370120",469,108
109,"White",80.2,"White",52,"Red",12.3,"37",0.2,"Recursive grid",13.5,"Uniform",77.2,"Bullseye",7.5,"Normal",96.4,"Balanced",78.8,"Loop",50.5,"0.000030762369245239786289",24,109
110,"White",80.2,"Black",40.2,"N/A",84.5,"14",5.2,"5x5 grid",23.6,"Bigger near center",12.4,"Bullseye",7.5,"Normal",96.4,"Balanced",78.8,"Weave",49.5,"0.001169132883441702632291",212,110
111,"White",80.2,"White",52,"N/A",84.5,"9",14.6,"3x3 grid",24.5,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Weave",49.5,"0.338470516723277103920964",985,111
112,"White",80.2,"Black",40.2,"N/A",84.5,"16",13.7,"4x4 grid",21.7,"Uniform",77.2,"Solid",92.5,"smol boi",3.6,"Balanced",78.8,"Weave",49.5,"0.008121390284171083398523",445,112
113,"White",80.2,"White",52,"N/A",84.5,"12",3.2,"5x5 grid",23.6,"Smaller near center",10.4,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Loop",50.5,"0.009821235019295848980847",482,113
114,"White",80.2,"White",52,"N/A",84.5,"6",5.6,"3x3 grid",24.5,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Loop",50.5,"0.132447021072841786271113",877,114
115,"White",80.2,"White",52,"N/A",84.5,"9",14.6,"3x3 grid",24.5,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Loop",50.5,"0.345308304939908938813176",998,115
116,"White",80.2,"White",52,"N/A",84.5,"9",14.6,"4x4 grid",21.7,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Off-center",21.2,"Loop",50.5,"0.082283037710844178502789",826,116
117,"White",80.2,"Black",40.2,"N/A",84.5,"14",5.2,"Tiled 3,4",2.9,"Uniform",77.2,"Bullseye",7.5,"Normal",96.4,"Balanced",78.8,"Weave",49.5,"0.000894428205115255247661",187,117
118,"White",80.2,"Black",40.2,"N/A",84.5,"17",2.6,"5x5 grid",23.6,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Weave",49.5,"0.044885902799232255122597",728,118
119,"White",80.2,"Black",40.2,"N/A",84.5,"10",3.3,"Tiled 3,4",2.9,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Weave",49.5,"0.007000620759267478683541",420,119
120,"White",80.2,"White",52,"N/A",84.5,"25",11.6,"5x5 grid",23.6,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Off-center",21.2,"Loop",50.5,"0.071099691950384125149753",818,120
121,"Red",5.4,"White",52,"N/A",84.5,"14",5.2,"Tiled 3,4",2.9,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Weave",49.5,"0.000960777087119003532847",191,121
122,"White",80.2,"White",52,"N/A",84.5,"25",11.6,"5x5 grid",23.6,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Weave",49.5,"0.259043021129897521603880",922,122
123,"Blue",1.1,"Blue",0.6,"N/A",84.5,"9",14.6,"3x3 grid",24.5,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Weave",49.5,"0.000053565734950451489966",38,123
124,"White",80.2,"Black",40.2,"N/A",84.5,"5",6.4,"3x3 grid",24.5,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Weave",49.5,"0.114701915888520480923951",855,124
125,"White",80.2,"White",52,"N/A",84.5,"25",11.6,"5x5 grid",23.6,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Loop",50.5,"0.264276213475956089915542",938,125
126,"White",80.2,"White",52,"N/A",84.5,"22",1.7,"Tiled 4,5",2.4,"Uniform",77.2,"Solid",92.5,"Normal",96.4,"Balanced",78.8,"Weave",49.5,"0.003860664546354405490119",339,126
